WorkTimeInSeconds,Input.Hotel,Input.Question,Answer.Q1AnswerPart1
5,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
8,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,-1
5,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
349,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
10,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,-1
23,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
33,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,-1
184,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
4,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
177,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
108,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
153,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
4,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
25,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,-1
58,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
23,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
16,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
53,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
5,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
175,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
236,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,-1
50,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
9,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
317,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
123,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
4,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
8,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
83,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
10,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
25,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
283,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
196,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
371,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
83,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,-1
12,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
5,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
6,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
20,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,1
27,Holiday Inn St. Louis - Forest Park,Are the rooms of this hotel reasonably comfortable?,-1
260,Ignacio,Are the rooms of this hotel reasonably comfortable?,-1
18,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
3,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
101,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
224,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
19,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
45,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
530,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
571,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
21,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
3,Ignacio,Are the rooms of this hotel reasonably comfortable?,-1
49,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
135,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
6,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
74,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
300,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
20,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
26,Ignacio,Are the rooms of this hotel reasonably comfortable?,-1
32,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
236,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
208,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
491,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
34,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
66,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
27,Ignacio,Are the rooms of this hotel reasonably comfortable?,1
98,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
13,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
43,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
192,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
6,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
40,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
27,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
154,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
4,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
3,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
205,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
190,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
14,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
15,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
6,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
391,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
10,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,-1
22,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
226,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
5,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
127,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
9,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
26,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
32,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
52,Hampton Inn St Louis-Airport,Are the rooms of this hotel reasonably comfortable?,1
227,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
7,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
7,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
30,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
32,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
40,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
6,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
121,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
28,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
122,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
13,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
220,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
5,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
6,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
48,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
9,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
3,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,-1
5,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
153,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
40,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
12,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
13,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
27,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
19,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
21,Sonesta ES Suites St. Louis,Are the rooms of this hotel reasonably comfortable?,1
390,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
20,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
340,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
49,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
234,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
3,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
61,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
13,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
21,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
63,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
17,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
328,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
44,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
20,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
53,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
2,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
10,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
4,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
5,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
282,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
54,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
326,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
7,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
99,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
225,Residence Inn St Louis Galleria,Are the rooms of this hotel reasonably comfortable?,1
5,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
47,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
5,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
71,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
